person_id,decile_score,rawscore,v_decile_score,is_recid,is_violent_recid,two_year_recid,sex,race,age,age_cat,total_priors_count,adult_priors_count,juv_priors_count,c_charge_degree,maritalstatus,juv_fel_count,juv_misd_count,juv_other_count,maritalstatus_other,maritalstatus_separated,maritalstatus_significant other,log_juv_priors_count,log_adult_priors_count,adult_priors_freq,adult_priors_freq_2,adult_priors_freq_3,is_violent,is_drug,is_property,is_fraud,is_weapon,is_traffic,is_sexual,is_public_disorder,is_justice_related,no_charge
62384.0,2,-3.03,1,1,0,1,0,hispanic,94,greater than 65,2,2,0,0,other,0,0,0,1.0,0.0,0.0,0.0,1.0986122886681098,0.02127659574468085,0.041357911414488906,0.024834461446044148,1,0,0,0,0,0,0,0,0,0
56279.0,1,-4.08,1,0,0,0,0,caucasian,80,greater than 65,4,4,0,0,separated,0,0,0,0.0,1.0,0.0,0.0,1.6094379124341003,0.05,0.0642696270033856,0.052454255095980826,0,0,0,0,0,1,0,0,0,1
50959.0,1,-4.5,1,0,0,0,0,hispanic,79,greater than 65,0,0,0,1,significant other,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.028991520255213343,0.005459662894742507,1,0,0,0,0,0,0,0,0,0
53038.0,1,-4.63,1,0,0,0,0,caucasian,77,greater than 65,0,0,0,1,significant other,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.02952074139979817,0.005592825404370373,1,0,0,0,0,0,0,0,0,0
56006.0,1,-4.05,1,0,0,0,0,caucasian,76,greater than 65,1,1,0,1,separated,0,0,0,0.0,1.0,0.0,0.0,0.6931471805599453,0.013157894736842105,0.03900390807437696,0.018007551643930503,0,0,0,0,0,0,0,1,0,0
57794.0,1,-3.23,1,0,0,0,0,african-american,75,greater than 65,0,0,0,1,significant other,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.030069642965756344,0.005732646039479632,0,0,0,0,0,1,0,0,0,0
52757.0,1,-3.65,1,0,0,0,0,caucasian,74,greater than 65,3,3,0,0,separated,0,0,0,0.0,1.0,0.0,0.0,1.3862943611198906,0.04054054054054054,0.058504188627928895,0.04377989472352368,0,0,0,0,0,1,0,0,0,1
62414.0,1,-4.46,1,1,1,1,0,african-american,75,greater than 65,1,1,0,1,significant other,0,0,0,0.0,0.0,1.0,0.0,0.6931471805599453,0.013333333333333334,0.03936652271759626,0.018232646039479633,0,0,0,0,0,1,0,0,0,0
56536.0,1,-3.62,1,0,0,0,0,caucasian,74,greater than 65,1,1,0,1,single,0,0,0,0.0,0.0,0.0,0.0,0.6931471805599453,0.013513513513513514,0.039735943001507235,0.018463439027321147,0,0,1,0,0,1,0,0,0,0
57847.0,1,-4.47,1,0,0,0,0,other,74,greater than 65,0,0,0,0,single,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303518201882964,0.0058052111792198805,1,0,0,0,1,0,0,0,0,0
55835.0,4,-4.02,1,1,0,1,0,caucasian,73,greater than 65,1,1,0,0,significant other,0,0,0,0.0,0.0,1.0,0.0,0.6931471805599453,0.0136986301369863,0.040112362335996236,0.018700149784081674,0,1,0,0,0,0,0,0,0,0
39395.0,1,-3.79,1,0,0,0,0,caucasian,73,greater than 65,2,2,0,1,significant other,0,0,0,0.0,0.0,1.0,0.0,1.0986122886681098,0.0273972602739726,0.04958538112089642,0.0315206626045945,0,0,0,0,0,1,0,0,0,0
56183.0,1,-4.33,1,0,0,0,0,hispanic,72,greater than 65,1,1,0,0,significant other,0,0,0,0.0,0.0,1.0,0.0,0.6931471805599453,0.013888888888888888,0.04049598152974044,0.018943008872186633,0,0,0,0,0,1,0,0,0,1
56070.0,1,-3.83,1,0,0,0,1,african-american,72,greater than 65,5,5,0,0,single,0,0,0,0.0,0.0,0.0,0.0,1.791759469228055,0.06944444444444445,0.07875044189094914,0.07089106082023858,0,0,0,0,0,1,0,0,0,1
58790.0,1,-4.23,1,0,0,0,1,african-american,72,greater than 65,0,0,0,0,single,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03093236643943826,0.005955995885173644,0,0,1,0,0,0,0,0,0,0
52768.0,1,-4.34,1,0,0,0,0,caucasian,71,greater than 65,2,2,0,0,other,0,0,0,1.0,0.0,0.0,0.0,1.0986122886681098,0.028169014084507043,0.05054297013190479,0.032350153725768035,0,0,0,0,0,1,0,0,0,1
59024.0,1,-4.35,1,0,0,0,1,caucasian,72,greater than 65,0,0,0,1,other,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.03093236643943826,0.005955995885173644,0,0,0,0,0,0,0,1,0,0
58245.0,1,-3.61,1,0,0,0,0,caucasian,71,greater than 65,0,0,0,1,single,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031231048162935263,0.006034364252083824,0,0,0,0,0,1,0,0,0,0
