person_id,decile_score,rawscore,v_decile_score,is_recid,is_violent_recid,two_year_recid,sex,race,age,priors_count,juv_priors_count,c_charge_degree,maritalstatus
62384.0,2,-3.03,1,1,0,1,0,hispanic,96,2,0,0,other
56279.0,1,-4.08,1,0,0,0,0,caucasian,83,4,0,0,separated
50959.0,1,-4.5,1,0,0,0,0,hispanic,83,0,0,1,significant other
53038.0,1,-4.63,1,0,0,0,0,caucasian,80,0,0,1,significant other
56006.0,1,-4.05,1,0,0,0,0,caucasian,79,1,0,1,separated
57794.0,1,-3.23,1,0,0,0,0,african-american,77,0,0,1,significant other
52757.0,1,-3.65,1,0,0,0,0,caucasian,77,3,0,0,separated
62414.0,1,-4.46,1,1,1,1,0,african-american,77,1,0,1,significant other
56536.0,1,-3.62,1,0,0,0,0,caucasian,77,1,0,1,single
57847.0,1,-4.47,1,0,0,0,0,other,76,0,0,0,single
55835.0,4,-4.02,1,1,0,1,0,caucasian,75,1,0,0,significant other
39395.0,1,-3.79,1,0,0,0,0,caucasian,75,2,0,1,significant other
56183.0,1,-4.33,1,0,0,0,0,hispanic,75,1,0,0,significant other
56070.0,1,-3.83,1,0,0,0,1,african-american,75,5,0,0,single
58790.0,1,-4.23,1,0,0,0,1,african-american,74,0,0,0,single
52768.0,1,-4.34,1,0,0,0,0,caucasian,74,2,0,0,other
59024.0,1,-4.35,1,0,0,0,1,caucasian,74,0,0,1,other
58245.0,1,-3.61,1,0,0,0,0,caucasian,74,0,0,1,single
51097.0,1,-4.45,1,0,0,0,0,caucasian,74,0,0,1,single
62293.0,1,-4.29,1,0,0,0,0,caucasian,73,0,0,1,single
57523.0,4,-3.67,1,0,0,0,0,caucasian,72,7,0,0,single
55122.0,1,-3.85,1,0,0,0,0,caucasian,72,1,0,1,separated
62112.0,1,-4.26,1,0,0,0,0,caucasian,72,3,0,0,single
9038.0,2,-3.2,1,0,0,0,0,caucasian,71,13,0,0,separated
6924.0,7,-2.51,3,0,0,0,0,african-american,71,12,0,1,single
38597.0,1,-2.73,2,0,0,0,0,african-american,71,8,0,0,separated
55564.0,1,-4.4,1,0,0,0,0,caucasian,71,1,0,1,single
34034.0,1,-4.47,1,0,0,0,0,caucasian,71,3,0,1,single
61108.0,1,-4.4,1,0,0,0,0,caucasian,70,0,0,1,single
62279.0,1,-4.2,1,1,0,1,0,caucasian,70,11,0,0,single
54079.0,1,-4.09,1,0,0,0,1,other,70,0,0,0,significant other
52667.0,1,-4.53,1,0,0,0,0,african-american,70,0,0,1,significant other
54034.0,1,-3.35,1,0,0,0,0,caucasian,70,1,0,1,significant other
51618.0,1,-4.39,1,0,0,0,1,african-american,70,1,0,0,single
52941.0,1,-2.94,2,1,0,1,0,caucasian,69,6,0,1,separated
61288.0,1,-4.11,1,0,0,0,1,hispanic,69,0,0,1,separated
61684.0,1,-3.94,1,1,0,1,0,african-american,69,1,0,0,separated
49204.0,6,-3.59,1,0,0,0,0,african-american,69,3,0,0,significant other
51367.0,5,-2.99,1,0,0,0,0,caucasian,69,0,0,0,separated
58185.0,3,-3.61,1,0,0,0,1,caucasian,69,5,0,0,significant other
57706.0,1,-4.53,1,1,0,1,0,caucasian,69,0,0,1,separated
51829.0,1,-3.45,1,0,0,0,1,caucasian,69,2,0,1,significant other
51713.0,1,-4.3,1,0,0,0,0,caucasian,69,0,0,1,separated
55773.0,1,-4.46,1,0,0,0,0,caucasian,69,0,0,1,single
