person_id,decile_score,rawscore,v_decile_score,is_recid,is_violent_recid,two_year_recid,sex,race,age,age_cat,total_priors_count,adult_priors_count,juv_priors_count,c_charge_degree,maritalstatus,juv_fel_count,juv_misd_count,juv_other_count,is_violent,is_drug,is_property,is_fraud,is_weapon,is_traffic,is_sexual,is_public_disorder,is_justice_related,no_charge,maritalstatus_other,maritalstatus_separated,maritalstatus_significant other,log_juv_priors_count,log_adult_priors_count,adult_priors_freq,adult_priors_freq_2,adult_priors_freq_3
62384.0,2,-3.03,1,1,0,1,0,hispanic,94,greater than 65,2,2,0,0,other,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0986122886681098,0.02127659574468085,0.04130751118497401,0.024880884793487133
56279.0,1,-4.08,1,0,0,0,0,caucasian,80,greater than 65,4,4,0,0,separated,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,1.6094379124341003,0.05,0.0642129582540213,0.05250832464182619
50959.0,1,-4.5,1,0,0,0,0,hispanic,79,greater than 65,0,0,0,1,significant other,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.02893434355281368,0.005514376125657456
53038.0,1,-4.63,1,0,0,0,0,caucasian,77,greater than 65,0,0,0,1,significant other,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0294625209742815,0.005648873104332028
56006.0,1,-4.05,1,0,0,0,0,caucasian,76,greater than 65,1,1,0,1,separated,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.6931471805599453,0.013157894736842105,0.03894515136631945,0.01806429129080526
57794.0,1,-3.23,1,0,0,0,0,african-american,75,greater than 65,0,0,0,1,significant other,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.030010340003649414,0.005790094931940329
52757.0,1,-3.65,1,0,0,0,0,caucasian,74,greater than 65,3,3,0,0,separated,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,1.3862943611198906,0.04054054054054054,0.05844432915954237,0.04383807081715476
62414.0,1,-4.46,1,1,1,1,0,african-american,75,greater than 65,1,1,0,1,significant other,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.6931471805599453,0.013333333333333334,0.03930721975548933,0.01829009493194033
56536.0,1,-3.62,1,0,0,0,0,caucasian,74,greater than 65,1,1,0,1,single,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.6931471805599453,0.013513513513513514,0.0396760835331207,0.018521615120952233
57847.0,1,-4.47,1,0,0,0,0,other,74,greater than 65,0,0,0,0,single,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.030291960719909874,0.005863387272850966
55835.0,4,-4.02,1,1,0,1,0,caucasian,73,greater than 65,1,1,0,0,significant other,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.6931471805599453,0.0136986301369863,0.040051935817741226,0.018759071725067005
39395.0,1,-3.79,1,0,0,0,0,caucasian,73,greater than 65,2,2,0,1,significant other,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0986122886681098,0.0273972602739726,0.04952495460264141,0.03157958454557982
56183.0,1,-4.33,1,0,0,0,0,hispanic,72,greater than 65,1,1,0,0,significant other,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.6931471805599453,0.013888888888888888,0.04043497711552359,0.019002696033184757
56070.0,1,-3.83,1,0,0,0,1,african-american,72,greater than 65,5,5,0,0,single,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.791759469228055,0.06944444444444445,0.07868943747673228,0.0709507479812367
58790.0,1,-4.23,1,0,0,0,1,african-american,72,greater than 65,0,0,0,0,single,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.030871362025221415,0.00601568304617177
52768.0,1,-4.34,1,0,0,0,0,caucasian,71,greater than 65,2,2,0,0,other,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0986122886681098,0.028169014084507043,0.05048137666144438,0.032410626244147714
59024.0,1,-4.35,1,0,0,0,1,caucasian,72,greater than 65,0,0,0,1,other,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.030871362025221415,0.00601568304617177
58245.0,1,-3.61,1,0,0,0,0,caucasian,71,greater than 65,0,0,0,1,single,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031169454692474858,0.006094836770463504
51097.0,1,-4.45,1,0,0,0,0,caucasian,70,greater than 65,0,0,0,1,single,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03147336023091521,0.006176101260736351
62293.0,1,-4.29,1,0,0,0,0,caucasian,71,greater than 65,0,0,0,1,single,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.031169454692474858,0.006094836770463504
57523.0,4,-3.67,1,0,0,0,0,caucasian,69,greater than 65,7,7,0,0,single,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0794415416798357,0.10144927536231885,0.10070600815516718,0.10085415668317874
55122.0,1,-3.85,1,0,0,0,0,caucasian,69,greater than 65,1,1,0,1,separated,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.6931471805599453,0.014492753623188406,0.04162935860189772,0.019773075602097654
62112.0,1,-4.26,1,0,0,0,0,caucasian,70,greater than 65,3,3,0,0,single,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.3862943611198906,0.04285714285714286,0.06072368316136954,0.046176101260736346
9038.0,2,-3.2,1,0,0,0,0,caucasian,69,greater than 65,13,13,0,0,separated,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,2.6390573296152584,0.18840579710144928,0.15978265770843667,0.18193523776425982
6924.0,7,-2.51,3,0,0,0,0,african-american,68,greater than 65,12,12,0,1,single,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.5649493574615367,0.17647058823529413,0.15142752121683292,0.17072887115829077
38597.0,1,-2.73,2,0,0,0,0,african-american,68,greater than 65,8,8,0,0,separated,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,2.1972245773362196,0.11764705882352941,0.11165144866486024,0.11593435061034557
55564.0,1,-4.4,1,0,0,0,0,caucasian,68,greater than 65,1,1,0,1,single,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.6931471805599453,0.014705882352941176,0.04204332169890801,0.020043939651441457
34034.0,1,-4.47,1,0,0,0,0,caucasian,68,greater than 65,3,3,0,1,single,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.3862943611198906,0.04411764705882353,0.061931357974894366,0.047441199925414054
61108.0,1,-4.4,1,0,0,0,0,caucasian,68,greater than 65,0,0,0,1,single,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03209930356091484,0.006345309514455155
62279.0,1,-4.2,1,1,0,1,0,caucasian,68,greater than 65,11,11,0,0,single,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.4849066497880004,0.16176470588235295,0.14148350307883975,0.15703024102130447
54079.0,1,-4.09,1,0,0,0,1,other,67,greater than 65,0,0,0,0,significant other,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.03242170558936011,0.006433438813267032
52667.0,1,-4.53,1,0,0,0,0,african-american,67,greater than 65,0,0,0,1,significant other,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.03242170558936011,0.006433438813267032
54034.0,1,-3.35,1,0,0,0,0,caucasian,67,greater than 65,1,1,0,1,significant other,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.6931471805599453,0.014925373134328358,0.04246560039952162,0.02032232770215592
51618.0,1,-4.39,1,0,0,0,1,african-american,66,greater than 65,1,1,0,0,single,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.6931471805599453,0.015151515151515152,0.04289644780904526,0.02060855766979192
52941.0,1,-2.94,2,1,0,1,0,caucasian,66,greater than 65,6,6,0,1,separated,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,1.9459101490553132,0.09090909090909091,0.09362543850624114,0.09103109288105952
